+Участковая избирательная комиссия №1100	ТИК № 46	Горностай Марина Олеговна	Председатель	"Санкт-Петербургская общественная организация ""Жители блокадного Ленинграда"""
-Участковая избирательная комиссия №1100	ТИК № 46	Пригоровская Раиса Михайловна	Секретарь	представительный орган муниципального образования
-Участковая избирательная комиссия №1100	ТИК № 46	Акишина Надежда Витальевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1100	ТИК № 46	Тарасова Людмила Михайловна	Секретарь	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1100	ТИК № 46	Белякова Екатерина Альбертовна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1100	ТИК № 46	Волкова Елена Юрьевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1100	ТИК № 46	Минькова Ольга Игоревна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1100	ТИК № 46	Волкова Екатерина Михайловна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1100	ТИК № 46	Горностай Виталий Иванович	Член	Красносельское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №1100	ТИК № 46	Карпова Любовь Николаевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1100	ТИК № 46	Савельева Розалия Николаевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1100	ТИК № 46	Унковская Татьяна Федоровна	Член	"Межрегиональная общественная организация ""Союз женщин Санкт-Петербурга и Ленинградской области"" Союза женщин России"
+Участковая избирательная комиссия №1100	ТИК № 46	Ярвальт Виктория Андреевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1165	ТИК № 46	Корнеенко Людмила Валерьевна	Председатель	"Красносельское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"""
