+Участковая избирательная комиссия №459	ТИК № 40	Галиева Наталия Сергеевна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №459	ТИК № 40	Веселова Татьяна Ивановна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №459	ТИК № 40	Веселова Татьяна Ивановна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №460	ТИК № 40	Зайцев Виктор Николаевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №460	ТИК № 40	Зайцев Виктор Николаевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №461	ТИК № 40	Юдина Ольга Владимировна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №462	ТИК № 40	Воропаев Алексей Владимирович	Председатель	собрание избирателей по месту жительства
+Участковая избирательная комиссия №461	ТИК № 40	Юдина Ольга Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №462	ТИК № 40	Григорьева Ирина Михайловна	Председатель	собрание избирателей по месту жительства
-Участковая избирательная комиссия №462	ТИК № 40	Воропаева Ольга Васильевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №462	ТИК № 40	Андронова Елена Михайловна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №462	ТИК № 40	Воропаев Владимир Владимирович	Член	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №462	ТИК № 40	Кравчук Наталия Юрьевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №462	ТИК № 40	Андронова Елена Михайловна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №462	ТИК № 40	Комлев Кирилл Валентинович	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №462	ТИК № 40	Мухина Татьяна Борисовна	Член	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №462	ТИК № 40	Храмова Елена Николаевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №463	ТИК № 40	Калашникова Надежда Алексеевна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №463	ТИК № 40	Гусейнова Юлия Александровна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №463	ТИК № 40	Гусейнова Юлия Александровна	Секретарь	собрание избирателей по месту работы
+Участковая избирательная комиссия №463	ТИК № 40	Калашникова Надежда Алексеевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №463	ТИК № 40	Липатова Валерия Альбертовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №463	ТИК № 40	Липатова Валерия Альбертовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №464	ТИК № 40	Бакай Мария Владимировна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №464	ТИК № 40	Бакай Мария Владимировна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №465	ТИК № 40	Новицкий Павел Сергеевич	Председатель	собрание избирателей по месту жительства
-Участковая избирательная комиссия №465	ТИК № 40	Владимиров Алексей Дмитриевич	Зам.председателя	собрание избирателей по месту жительства
+Участковая избирательная комиссия №465	ТИК № 40	Владимиров Алексей Дмитриевич	Председатель	собрание избирателей по месту жительства
+Участковая избирательная комиссия №465	ТИК № 40	Елинецкая Марина Николаевна	Зам.председателя	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №465	ТИК № 40	Елинецкая Марина Николаевна	Член	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №465	ТИК № 40	Кузнецова Милана Александровна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №465	ТИК № 40	Стасюк Зоя Николаевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №465	ТИК № 40	Стасюк Зоя Николаевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №466	ТИК № 40	Буринкова Валентина Александровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №466	ТИК № 40	Буринкова Валентина Александровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №467	ТИК № 40	Шумилина Ольга Вячеславовна	Председатель	собрание избирателей по месту жительства
-Участковая избирательная комиссия №467	ТИК № 40	Соловьева Наталья Ивановна	Зам.председателя	собрание избирателей по месту жительства
-Участковая избирательная комиссия №467	ТИК № 40	Шумилин Илья Алексеевич	Секретарь	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
+Участковая избирательная комиссия №467	ТИК № 40	Селищева Светлана Николаевна	Председатель	собрание избирателей по месту жительства
+Участковая избирательная комиссия №467	ТИК № 40	Могорина Светлана Владимировна	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №467	ТИК № 40	Романчева Вера Викторовна	Секретарь	Калининское местное (районное) отделение Санкт-Петербургского городского отделения политической партии «Коммунистическая партия Российской Федерации»
-Участковая избирательная комиссия №467	ТИК № 40	Селищева Светлана Николаевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №467	ТИК № 40	Синотова Надежда Александровна	Член	"Санкт-Петербургское региональное отделение Общероссийской политической партии ""Народная партия ""За женщин России"""
-Участковая избирательная комиссия №467	ТИК № 40	Стасюк Мария Вячеславовна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №468	ТИК № 40	Никончук Виталий Андреевич	Председатель	собрание избирателей по месту жительства
-Участковая избирательная комиссия №468	ТИК № 40	Иванов Николай Михайлович	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №468	ТИК № 40	Меронен Наталья Николаевна	Секретарь	собрание избирателей по месту жительства
+Участковая избирательная комиссия №467	ТИК № 40	Соловьева Наталья Ивановна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №467	ТИК № 40	Стасюк Мария Вячеславовна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №467	ТИК № 40	Шумилина Ольга Вячеславовна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №468	ТИК № 40	Бурцева Наталья Валентиновна	Председатель	собрание избирателей по месту жительства
+Участковая избирательная комиссия №468	ТИК № 40	Гулак Анатолий Александрович	Зам.председателя	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №468	ТИК № 40	Иванова Наталья Васильевна	Секретарь	собрание избирателей по месту жительства
-Участковая избирательная комиссия №468	ТИК № 40	Зарицкая Лидия Николаевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №468	ТИК № 40	Захаренко Светлана Владимировна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №468	ТИК № 40	Захарова Алина Алексеевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №468	ТИК № 40	Енина Виктория Игоревна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №468	ТИК № 40	Зарицкая Лидия Николаевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №468	ТИК № 40	Татарова Анастасия Юрьевна	Член	собрание избирателей по месту работы
