+Участковая избирательная комиссия №434	ТИК № 38	Вдовиченко Павел Андреевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №434	ТИК № 38	Лойко Анастасия Сергеевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №434	ТИК № 38	Юрьева Анна Михайловна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №435	ТИК № 38	Григорьев Дмитрий Андреевич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №435	ТИК № 38	Комиссарчук Олег Юрьевич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №435	ТИК № 38	Саморядов Кирилл Алексеевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №435	ТИК № 38	Саморядов Кирилл Алексеевич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №436	ТИК № 38	Турдиматов Сергей Шералиевич	Зам.председателя	собрание избирателей по месту жительства
+Участковая избирательная комиссия №436	ТИК № 38	Андреева Ольга Александровна	Секретарь	собрание избирателей по месту жительства
-Участковая избирательная комиссия №436	ТИК № 38	Волегова Полина Дмитриевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №436	ТИК № 38	Кабрицкий Артем Николаевич	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №436	ТИК № 38	Волегова Полина Дмитриевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №437	ТИК № 38	Банарь Светлана Александровна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №437	ТИК № 38	Банарь Светлана Александровна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №438	ТИК № 38	Гаврилов Роман Игоревич	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №438	ТИК № 38	Жарновецкая Марина Сергеевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №438	ТИК № 38	Чухарева Валентина Александровна	Член	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
-Участковая избирательная комиссия №438	ТИК № 38	Яровой Павел Вячеславович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №438	ТИК № 38	Шилова Анастасия Александровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №438	ТИК № 38	Яровой Павел Вячеславович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
-Участковая избирательная комиссия №439	ТИК № 38	Волынко Марина Николаевна	Зам.председателя	собрание избирателей по месту жительства
+Участковая избирательная комиссия №439	ТИК № 38	Ульянова Наталья Константиновна	Зам.председателя	собрание избирателей по месту работы
+Участковая избирательная комиссия №439	ТИК № 38	Сорокина Ольга Васильевна	Секретарь	собрание избирателей по месту жительства
+Участковая избирательная комиссия №439	ТИК № 38	Волынко Марина Николаевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №439	ТИК № 38	Сорокина Ольга Васильевна	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №439	ТИК № 38	Стародубцев Антон Михайлович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №439	ТИК № 38	Ульянова Наталья Константиновна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №439	ТИК № 38	Рыхтюк Ольга Сергеевна	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №439	ТИК № 38	Стародубцев Антон Михайлович	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №440	ТИК № 38	Бабакина Ирина Григорьевна	Председатель	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №440	ТИК № 38	Медведева Марта Витальевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №440	ТИК № 38	Шашко Даниил Андреевич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №441	ТИК № 38	Сомина Анна Вадимовна	Председатель	собрание избирателей по месту работы
