-Участковая избирательная комиссия №1454	ТИК № 50	Игнатова Ирина Сергеевна	Секретарь	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
+Участковая избирательная комиссия №1454	ТИК № 50	Дунаев Антон Евгеньевич	Председатель	собрание избирателей по месту работы
-Участковая избирательная комиссия №1454	ТИК № 50	Деркунская Ксения Сергеевна	Член	"Региональное отделение в городе Санкт-Петербурге Политической партии ""Гражданская Платформа"""
+Участковая избирательная комиссия №1454	ТИК № 50	Егоров Константин Алексеевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1454	ТИК № 50	Иванов Николай Петрович	Член	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
+Участковая избирательная комиссия №1454	ТИК № 50	Ковалёв Иван Петрович	Член	собрание избирателей по месту жительства
+Участковая избирательная комиссия №1454	ТИК № 50	Колокольцева Анна Андреевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1454	ТИК № 50	Комаров Владимир Александрович	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1454	ТИК № 50	Поветкин Сергей Владимирович	Член	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №1454	ТИК № 50	Савинская Елена Валерьевна	Член	"Местное отделение Всероссийской политической партии ""ЕДИНАЯ РОССИЯ"" Муниципального образования МО №54"
-Участковая избирательная комиссия №1454	ТИК № 50	Салимова Евгения Геннадиевна	Член	"Санкт-Петербургская общественная организация ""Общество ветеранов Афганистана ""Апрель"""
+Участковая избирательная комиссия №1454	ТИК № 50	Перемыкина Вероника Валерьевна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №1454	ТИК № 50	Полянский Дмитрий Игоревич	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №1454	ТИК № 50	Хасина Людмила Зиновьевна	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1454	ТИК № 50	Хасина Людмила Зиновьевна	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
+Участковая избирательная комиссия №1454	ТИК № 50	Храбан Никита Васильевич	Член	собрание избирателей по месту жительства
-Участковая избирательная комиссия №1455	ТИК № 50	Круглов Сергей Игоревич	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
+Участковая избирательная комиссия №1455	ТИК № 50	Круглов Сергей Игоревич	Член	"Региональное отделение Социалистической политической партии ""СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ"" в городе Санкт-Петербурге"
