+Участковая избирательная комиссия №2214	ТИК № 64	Ковалева Анжелика Александровна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2214	ТИК № 64	Котлярова Дарья Ивановна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2214	ТИК № 64	Мельничук Наталия Владимировна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2214	ТИК № 64	Меньшикова Галина Викторовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2214	ТИК № 64	Озерова Вероника Сергеевна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2214	ТИК № 64	Павлов Михаил Николаевич	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2214	ТИК № 64	Цолина Кристина Александровна	Член	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2215	ТИК № 64	Самукова Елена Геннадьевна	Председатель	"Региональное отделение Всероссийской политической партии ""Союз Труда"" в Санкт-Петербурге"
-Участковая избирательная комиссия №2215	ТИК № 64	Буровникова Виктория Юрьевна	Зам.председателя	"Региональное отделение в Санкт-Петербурге Политической партии ""Российская экологическая партия ""Зелёные"""
-Участковая избирательная комиссия №2215	ТИК № 64	Зинина Ксения Алексеевна	Секретарь	"Региональная общественная организация поддержки и развития молодежного творчества ""Студенческий клуб Санкт-Петербурга"""
+Участковая избирательная комиссия №2215	ТИК № 64	Новокрещёнов Станислав Дмитриевич	Председатель	собрание избирателей по месту работы
+Участковая избирательная комиссия №2215	ТИК № 64	Мазго Андрей Юрьевич	Зам.председателя	собрание избирателей по месту работы
+Участковая избирательная комиссия №2215	ТИК № 64	Хазова Елена Васильевна	Секретарь	собрание избирателей по месту работы
-Участковая избирательная комиссия №2215	ТИК № 64	Брусникина Светлана Петровна	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2215	ТИК № 64	Власова Марина Александровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
-Участковая избирательная комиссия №2215	ТИК № 64	Вовненко Нелли Иосифовна	Член	"Региональное отделение Политической партии ""Трудовая партия России"" в Санкт-Петербурге"
+Участковая избирательная комиссия №2215	ТИК № 64	Боброва Станислава Михайловна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2215	ТИК № 64	Бушмарина София Всеволодовна	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2215	ТИК № 64	Герасимов Илья Вячеславович	Член	собрание избирателей по месту работы
+Участковая избирательная комиссия №2215	ТИК № 64	Кузнецов Павел Юрьевич	Член	собрание избирателей по месту работы
-Участковая избирательная комиссия №2215	ТИК № 64	Пастухов Георгий Михайлович	Член	Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Санкт-Петербурге
-Участковая избирательная комиссия №2215	ТИК № 64	Рыжкова Юлия Михайловна	Член	"Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ ""РОДИНА"" в городе Санкт-Петербурге"
